Rk,▴,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
431,Marc Trestman,1,2013,16,8,8,0,.500,0,0,0,0,0,,2.0,2,,,
432,Jim Trimble,4,1952-1955,48,25,20,3,.556,5,0,0,0,0,,2.5,2,0,0,0
433,Mel Tucker,1,2011,5,2,3,0,.400,-1,0,0,0,0,,3.0,3,,,
434,Bulldog Turner+,1,1962,14,5,9,0,.357,-4,0,0,0,0,,4.0,4,0,0,0
435,Norv Turner,15,1994-2012,237,114,122,1,.483,-8,4,8,4,4,.500,2.5,1,0,0,0
436,Rube Ursella,3,1920-1925,24,12,8,4,.600,4,0,0,0,0,,8.3,4,0,0,0
437,Norm Van Brocklin+,13,1961-1974,173,66,100,7,.398,-34,0,0,0,0,,3.9,2,0,0,0
438,Rick Venturi,2,1991-1996,19,2,17,0,.105,-15,0,0,0,0,,5.0,5,0,0,0
439,Dick Vermeil,15,1976-2005,229,120,109,0,.524,11,6,11,6,5,.545,3.1,1,1,1,2
440,Joe Vitt,2,2005-2012,21,9,12,0,.429,-3,0,0,0,0,,2.5,2,,,
441,Carl Voyles,1,1948,14,2,12,0,.143,-10,0,0,0,0,,4.0,4,0,0,0
442,Charlie Waller,2,1969-1970,19,9,7,3,.563,2,0,0,0,0,,3.0,3,0,0,0
443,Ron Waller,1,1973,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
444,Adam Walsh,2,1945-1946,21,15,5,1,.750,10,1,1,1,0,1.000,1.5,1,1,0,0
445,Bill Walsh,10,1979-1988,152,92,59,1,.609,33,7,14,10,4,.714,1.8,1,3,3,3
446,Chile Walsh,1,1934,3,1,2,0,.333,-1,0,0,0,0,,5.0,5,0,0,0
447,Joe Walton,7,1983-1989,111,53,57,1,.482,-4,2,3,1,2,.333,3.7,2,0,0,0
448,Dave Wannstedt,11,1993-2004,169,82,87,0,.485,-5,3,5,2,3,.400,3.3,1,0,0,0
449,Bob Waterfield+,3,1960-1962,34,9,24,1,.273,-15,0,0,0,0,,6.3,6,0,0,0
450,Red Weaver,2,1924-1925,17,4,13,0,.235,-9,0,0,0,0,,13.0,10,0,0,0
451,Alex Webster,5,1969-1973,70,29,40,1,.420,-11,0,0,0,0,,3.4,2,,,
452,Ed Weir,2,1927-1928,26,15,7,4,.682,8,0,0,0,0,,4.5,2,0,0,0
453,John Whelchel,1,1949,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
454,Ken Whisenhunt,6,2007-2012,96,45,51,0,.469,-6,2,6,4,2,.667,2.3,1,0,0,1
455,Mike White,2,1995-1996,32,15,17,0,.469,-2,0,0,0,0,,4.5,4,0,0,0
456,Paul Wiggin,3,1975-1977,35,11,24,0,.314,-13,0,0,0,0,,4.0,3,0,0,0
457,Hubert Wiggs,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
458,Willie Wilkin,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
459,Bud Wilkinson,2,1978-1979,29,9,20,0,.310,-11,0,0,0,0,,4.5,4,0,0,0
460,Gregg Williams,3,2001-2003,48,17,31,0,.354,-14,0,0,0,0,,4.0,3,0,0,0
461,Jerry Williams,3,1969-1971,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
462,Richard Williamson,2,1990-1991,19,4,15,0,.211,-11,0,0,0,0,,3.5,2,,,
463,Ray Willsey,1,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
464,George Wilson,12,1957-1969,160,68,84,8,.447,-16,1,2,2,0,1.000,3.3,1,1,0,0
465,Larry Wilson+,1,1979,3,2,1,0,.667,1,0,0,0,0,,5.0,5,0,0,0
466,Charley Winner,7,1966-1975,93,44,44,5,.500,0,0,0,0,0,,3.3,2,0,0,0
467,Hoge Workman,1,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
468,Lud Wray,4,1932-1935,41,13,25,3,.342,-12,0,0,0,0,,4.0,3,0,0,0
469,Sam Wyche,12,1984-1995,191,84,107,0,.440,-23,2,5,3,2,.600,3.2,1,0,0,1
470,Doug Wycoff,2,1929-1930,22,8,9,5,.471,-1,0,0,0,0,,6.0,6,0,0,0
471,Doc Young,2,1925-1926,8,1,7,0,.125,-6,0,0,0,0,,17.5,14,0,0,0
472,Swede Youngstrom,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
473,Jim Zorn,2,2008-2009,32,12,20,0,.375,-8,0,0,0,0,,4.0,4,0,0,0
